Character,Book,Page,Chapter No,Chapter Name,POV,Title,Forename,Surname,OldSurname,Alias,RegnalNo,Gender,AliveStatus
Ser Myles Manwoody,A Storm of Swords,521,38,Tyrion V,Tyrion Lannister,Ser,Myles,Manwoody,,,,M,
Mors Manwoody,A Storm of Swords,521,38,Tyrion V,Tyrion Lannister,,Mors,Manwoody,,,,M,
Dickon Manwoody,A Storm of Swords,521,38,Tyrion V,Tyrion Lannister,,Dickon,Manwoody,,,,M,
Ser Arron Qorgyle,A Storm of Swords,521,38,Tyrion V,Tyrion Lannister,Ser,Arron,Qorgyle,,,,M,
Myria Jordayne,A Storm of Swords,521,38,Tyrion V,Tyrion Lannister,,Myria,Jordayne,,,,F,
Lady Larra Blackmont,A Storm of Swords,521,38,Tyrion V,Tyrion Lannister,Lady,Larra,Blackmont,,,,F,
Jynessa Blackmont,A Storm of Swords,521,38,Tyrion V,Tyrion Lannister,,Jynessa,Blackmont,,,,F,
Ellaria Sand,A Storm of Swords,521,38,Tyrion V,Tyrion Lannister,,Ellaria,Sand,,,,F,
Lord Anders Yronwood,A Storm of Swords,522,38,Tyrion V,Tyrion Lannister,Lord,Anders,Yronwood,,,,M,
"Leo Tyrell, Longthorn",A Storm of Swords,525,38,Tyrion V,Tyrion Lannister,,Leo,Tyrell,,Longthorn,,M,
Notch,A Storm of Swords,530,39,Arya VII,Arya Stark,,Notch,,,,,M,
"Dick, Beardless Dick",A Storm of Swords,530,39,Arya VII,Arya Stark,,Dick,,,Beardless Dick,,M,
"Watty, The Miller",A Storm of Swords,532,39,Arya VII,Arya Stark,,Watty,,,The Miller,,M,
"Merrit, Merrit o' Moontown",A Storm of Swords,532,39,Arya VII,Arya Stark,,Merrit,,,Merrit o' Moontown,,M,
Lord Harte,A Storm of Swords,538,39,Arya VII,Arya Stark,Lord,?,Harte,,,,M,
Jayde,A Storm of Swords,592,43,Arya VIII,Arya Stark,,Jayde,,,,,F,
Puddingfoot,A Storm of Swords,543,39,Arya VII,Arya Stark,,Puddingfoot,,,,,M,
"Luke, Likely Luke",A Storm of Swords,544,39,Arya VII,Arya Stark,,Luke,,,Likely Luke,,M,
"Queen Alysanne, Good Queen Alysanne",A Storm of Swords,546,40,Bran III,Bran Stark,Queen,Alysanne,,,Good Queen Alysanne,,F,
Big Boil,A Storm of Swords,559,41,Jon V,Jon Snow,,Big Boil,,,,,M,
"Dan, Hempen Dan",A Storm of Swords,559,41,Jon V,Jon Snow,,Dan,,,Hempen Dan,,M,
"Dick Follard, Deaf Dick Follard",A Storm of Swords,561,41,Jon V,Jon Snow,,Dick,Follard,,Deaf Dick Follard,,M,D
Septon Cellador,A Storm of Swords,561,41,Jon V,Jon Snow,Septon,Cellador,,,,,M,
Ser Wynton Stout,A Storm of Swords,561,41,Jon V,Jon Snow,Ser,Wynton,Stout,,,,M,
Quort,A Storm of Swords,562,41,Jon V,Jon Snow,,Quort,,,,,M,D
Bodger,A Storm of Swords,562,41,Jon V,Jon Snow,,Bodger,,,,,M,D
Del,A Storm of Swords,562,41,Jon V,Jon Snow,,Del,,,,,M,
"Henk, The Helm",A Storm of Swords,562,41,Jon V,Jon Snow,,Henk,,,The Helm,,M,
Toefinger,A Storm of Swords,562,41,Jon V,Jon Snow,,Toefinger,,,,,M,
Stone Thumbs,A Storm of Swords,562,41,Jon V,Jon Snow,,Stone Thumbs,,,,,M,D
Lenn,A Storm of Swords,562,41,Jon V,Jon Snow,,Lenn,,,,,M,
Grey Worm,A Storm of Swords,572,42,Daenerys IV,Daenerys Targaryen,,Grey Worm,,,,,M,
Prendahl na Ghezn,A Storm of Swords,574,42,Daenerys IV,Daenerys Targaryen,,Prendahl,na Ghezn,,,,M,D
"Sallor, The Bald",A Storm of Swords,574,42,Daenerys IV,Daenerys Targaryen,,Sallor,,,The Bald,,M,D
Daario Naharis,A Storm of Swords,574,42,Daenerys IV,Daenerys Targaryen,,Daario,Naharis,,,,M,
"Mero, The Titan's Bastard",A Storm of Swords,576,42,Daenerys IV,Daenerys Targaryen,,Mero,,,The Titan's Bastard,,M,
Grazdan mo Eraz,A Storm of Swords,578,42,Daenerys IV,Daenerys Targaryen,,Grazdan,mo Eraz,,,,M,
Jenny,A Storm of Swords,594,43,Arya VIII,Arya Stark,,Jenny,,,,,F,
"Gergen, Green Gergen",A Storm of Swords,596,43,Arya VIII,Arya Stark,,Gergen,,,Green Gergen,,M,
Allyria Dayne,A Storm of Swords,596,43,Arya VIII,Arya Stark,,Allyria,Dayne,,,,F,
Lord Lymond Goodbrook,A Storm of Swords,599,43,Arya VIII,Arya Stark,Lord,Lymond,Goodbrook,,,,M,
Nage,A Storm of Swords,607,44,Jaime VI,Jaime Lannister,,Nage,,,,,M,
Lord Tarbeck,A Storm of Swords,607,44,Jaime VI,Jaime Lannister,Lord,?,Tarbeck,,,,M,
"Jenny, Of Oldstones",A Storm of Swords,627,45,Catelyn V,Catelyn Tully,,Jenny,,,Of Oldstones,,F,
"King Tristifer IV Mudd, The Hammer of Justice",A Storm of Swords,627,45,Catelyn V,Catelyn Tully,King,Tristifer,Mudd,,The Hammer of Justice,IV,M,
King Tristifer V Mudd,A Storm of Swords,627,45,Catelyn V,Catelyn Tully,King,Tristifer,Mudd,,,V,M,
Lord Raymar Royce,A Storm of Swords,628,45,Catelyn V,Catelyn Tully,Lord,Raymar,Royce,,,,M,
Ryles,A Storm of Swords,646,46,Samwell III,Samwell Tarly,,Ryles,,,,,M,D
Lord Roote,A Storm of Swords,650,47,Arya IX,Arya Stark,Lord,?,Roote,,,,M,
"King Andahar, Old King Andahar",A Storm of Swords,650,47,Arya IX,Arya Stark,King,Andahar,,,Old King Andahar,,M,
"Lew, Left Hand Lew",A Storm of Swords,666,48,Jon VI,Jon Snow,,Lew,,,Left Hand Lew,,M,
Maester Brenett,A Storm of Swords,682,49,Catelyn VI,Catelyn Tully,Maester,Brenett,,,,,M,
Ronnel Stout,A Storm of Swords,685,49,Catelyn VI,Catelyn Tully,,Ronnel,Stout,,,,M,
Ser Kyle Condon,A Storm of Swords,685,49,Catelyn VI,Catelyn Tully,Ser,Kyle,Condon,,,,M,
Sedgekins,A Storm of Swords,690,50,Arya X,Arya Stark,,Sedgekins,,,,,M,
Ser Gerald Gower,A Storm of Swords,729,54,Davos V,Davos Seaworth,Ser,Gerald,Gower,,,,M,
Septon Murmison,A Storm of Swords,731,54,Davos V,Davos Seaworth,Septon,Murmison,,,,,M,
Lord Ambrose Butterwell,A Storm of Swords,731,54,Davos V,Davos Seaworth,Lord,Ambrose,Butterwell,,,,M,
Myles Smallwood,A Storm of Swords,731,54,Davos V,Davos Seaworth,,Myles,Smallwood,,,,M,
Ser Otto Hightower,A Storm of Swords,731,54,Davos V,Davos Seaworth,Ser,Otto,Hightower,,,,M,
"Baelor Targaryen, Breakspear",A Storm of Swords,731,54,Davos V,Davos Seaworth,,Baelor,Targaryen,,Breakspear,,M,D
Septon Barth,A Storm of Swords,731,54,Davos V,Davos Seaworth,Septon,Barth,,,,,M,
Lord Fell,A Storm of Swords,734,54,Davos V,Davos Seaworth,Lord,?,Fell,,,,M,
Silveraxe,A Storm of Swords,734,54,Davos V,Davos Seaworth,,Silveraxe,,,,,M,
"Roro Uhoris, Blind Bastard",A Storm of Swords,735,54,Davos V,Davos Seaworth,,Roro,Uhoris,,Blind Bastard,,M,
Mully,A Storm of Swords,739,55,Jon VII,Jon Snow,,Mully,,,,,M,
Satin,A Storm of Swords,740,55,Jon VII,Jon Snow,,Satin,,,,,M,
Lord Commander Runcel Hightower,A Storm of Swords,740,55,Jon VII,Jon Snow,Lord Commander,Runcel,Hightower,,,,M,D
Lord Commander Rodrik Flint,A Storm of Swords,740,55,Jon VII,Jon Snow,Lord Commander,Rodrik,Flint,,,,M,D
Lord Commander Tristan Mudd,A Storm of Swords,740,55,Jon VII,Jon Snow,Lord Commander,Tristan,Mudd,,,,M,D
"Lord Commander Marq Rankenfell, Mad Marq Rankenfell",A Storm of Swords,740,55,Jon VII,Jon Snow,Lord Commander,Marq,Rankenfell,,Mad Marq Rankenfell,,M,D
Lord Commander Robin Hill,A Storm of Swords,740,55,Jon VII,Jon Snow,Lord Commander,Robin,Hill,,,,M,D
"Su, Sky Blue Su",A Storm of Swords,741,55,Jon VII,Jon Snow,,Su,,,Sky Blue Su,,F,
"Meliana, Lady Meliana",A Storm of Swords,741,55,Jon VII,Jon Snow,,Meliana,,,Lady Meliana,,F,
Kegs,A Storm of Swords,741,55,Jon VII,Jon Snow,,Kegs,,,,,M,
Spare Boot,A Storm of Swords,741,55,Jon VII,Jon Snow,,Spare Boot,,,,,M,
Easy,A Storm of Swords,741,55,Jon VII,Jon Snow,,Easy,,,,,M,
"Dilly, Dornish Dilly",A Storm of Swords,741,55,Jon VII,Jon Snow,,Dilly,,,Dornish Dilly,,F,D
"Alyn, Red Alyn of the Rosewood",A Storm of Swords,741,55,Jon VII,Jon Snow,,Alyn,,,Red Alyn of the Rosewood,,M,D
"Henly, Young Henly",A Storm of Swords,741,55,Jon VII,Jon Snow,,Henly,,,Young Henly,,M,D
"Henly, Old Henly",A Storm of Swords,741,55,Jon VII,Jon Snow,,Henly,,,Old Henly,,M,D
"Pate, Spotted Pate of Maidenpool",A Storm of Swords,741,55,Jon VII,Jon Snow,,Pate,,,Spotted Pate of Maidenpool,,M,
"Owen, The Oaf",A Storm of Swords,743,55,Jon VII,Jon Snow,,Owen,,,The Oaf,,M,
The Night's King,A Storm of Swords,756,56,Bran IV,Bran Stark,,?,,,The Night's King,,M,
The Rat Cook,A Storm of Swords,756,56,Bran IV,Bran Stark,,?,,,The Rat Cook,,M,
Danny Flint,A Storm of Swords,756,56,Bran IV,Bran Stark,,Danny,Flint,,,,M,
King Sherrit,A Storm of Swords,756,56,Bran IV,Bran Stark,King,Sherrit,,,,,M,
Mad Axe,A Storm of Swords,756,56,Bran IV,Bran Stark,,Mad Axe,,,,,M,
Lord Rodrik Ryswell,A Storm of Swords,760,56,Bran IV,Bran Stark,Lord,Rodrik,Ryswell,,,,M,
Oznak zo Pahl,A Storm of Swords,776,57,Daenerys V,Daenerys Targaryen,,Oznak,zo Pahl,,,,M,D
"Ben Plumm, Brown Ben Plumm",A Storm of Swords,776,57,Daenerys V,Daenerys Targaryen,,Ben,Plumm,,Brown Ben Plumm,,M,
Scarb,A Storm of Swords,776,57,Daenerys V,Daenerys Targaryen,,Scarb,,,,,M,
Brella,A Storm of Swords,794,58,Tyrion VII,Tyrion Lannister,,Brella,,,,,F,
Grand Maester Kaeth,A Storm of Swords,803,59,Sansa IV,Sansa Stark,Grand Maester,Kaeth,,,,,M,
"Bessa, The Barmaid",A Storm of Swords,821,60,Tyrion VIII,Tyrion Lannister,,Bessa,,,The Barmaid,,F,
Lord Ralph Buckler,A Storm of Swords,828,60,Tyrion VIII,Tyrion Lannister,Lord,Ralph,Buckler,,,,M,
Oswell Kettleblack,A Storm of Swords,837,61,Sansa V,Sansa Stark,,Oswell,Kettleblack,,,,M,
Ser Bertram Beesbury,A Storm of Swords,844,62,Jaime VII,Jaime Lannister,Ser,Bertram,Beesbury,,,,M,
Samwell Spicer,A Storm of Swords,852,62,Jaime VII,Jaime Lannister,,Samwell,Spicer,,,,M,
Dennis Plumm,A Storm of Swords,852,62,Jaime VII,Jaime Lannister,,Dennis,Plumm,,,,M,
"Harwyn Plumm, Hardstone",A Storm of Swords,852,62,Jaime VII,Jaime Lannister,,Harwyn,Plumm,,Hardstone,,M,
Peter Plumm,A Storm of Swords,852,62,Jaime VII,Jaime Lannister,,Peter,Plumm,,,,M,
"Lewys, The Fishwife",A Storm of Swords,859,63,Davos VI,Davos Seaworth,,Lewys,,,The Fishwife,,M,
"Ser Triston, Of Tally Hill",A Storm of Swords,859,63,Davos VI,Davos Seaworth,Ser,Triston,,,Of Tally Hill,,M,
Omer Blackberry,A Storm of Swords,861,63,Davos VI,Davos Seaworth,,Omer,Blackberry,,,,M,
"Ser Rolland Storm, The Bastard of Nightsong",A Storm of Swords,861,63,Davos VI,Davos Seaworth,Ser,Rolland,Storm,,The Bastard of Nightsong,,M,
"Hareth, Horse",A Storm of Swords,869,64,Jon VIII,Jon Snow,,Hareth,,,Horse,,M,
Zei,A Storm of Swords,869,64,Jon VIII,Jon Snow,,Zei,,,,,F,
Arron,A Storm of Swords,877,64,Jon VIII,Jon Snow,,Arron,,,,,M,
Emrick,A Storm of Swords,877,64,Jon VIII,Jon Snow,,Emrick,,,,,M,
The Demon of Darry,A Storm of Swords,913,67,Jaime VIII,Jaime Lannister,,?,,,The Demon of Darry,,?,
"Ser Duncan, The Tall",A Storm of Swords,913,67,Jaime VIII,Jaime Lannister,Ser,Duncan,,,The Tall,,M,
"Alyn Connington, Pale Griffin",A Storm of Swords,913,67,Jaime VIII,Jaime Lannister,,Alyn,Connington,,Pale Griffin,,M,
"Prince Duncan Targaryen, The Prince of Dragonflies",A Storm of Swords,914,67,Jaime VIII,Jaime Lannister,Prince,Duncan,Targaryen,,The Prince of Dragonflies,,M,
"Maelys I Blackfyre, Maelys the Monstrous",A Storm of Swords,914,67,Jaime VIII,Jaime Lannister,,Maelys,Blackfyre,,Maelys the Monstrous,I,M,
"Lormelle, Long Lance",A Storm of Swords,914,67,Jaime VIII,Jaime Lannister,,Lormelle,,,Long Lance,,M,
"Cedrik Storm, Bastard of Bronzegate",A Storm of Swords,914,67,Jaime VIII,Jaime Lannister,,Cedrik,Storm,,Bastard of Bronzegate,,M,
Ser Gwayne Gaunt,A Storm of Swords,914,67,Jaime VIII,Jaime Lannister,Ser,Gwayne,Gaunt,,,,M,
Lady Jeyne Swann,A Storm of Swords,914,67,Jaime VIII,Jaime Lannister,Lady,Jeyne,Swann,,,,F,
The Smiling Knight,A Storm of Swords,914,67,Jaime VIII,Jaime Lannister,,?,,,The Smiling Knight,,M,
Blackshield/The Bastard of Uplands,A Storm of Swords,914,67,Jaime VIII,Jaime Lannister,,?,,,Blackshield/The Bastard of Uplands,,M,
Ser Robert Stone,A Storm of Swords,920,67,Jaime VIII,Jaime Lannister,Ser,Robert,Stone,,,,M,
Ser Elwood Harte,A Storm of Swords,921,67,Jaime VIII,Jaime Lannister,Ser,Elwood,Harte,,,,M,
Ser Jonothor Darry,A Storm of Swords,923,67,Jaime VIII,Jaime Lannister,Ser,Jonothor,Darry,,,,M,
Kella,A Storm of Swords,929,68,Sansa VI,Sansa Stark,,Kella,,,,,F,
Bryen,A Storm of Swords,930,68,Sansa VI,Sansa Stark,,Bryen,,,,,M,
Grisel,A Storm of Swords,930,68,Sansa VI,Sansa Stark,,Grisel,,,,,F,
Umfred,A Storm of Swords,930,68,Sansa VI,Sansa Stark,,Umfred,,,,,M,
Lord Lyonel Corbray,A Storm of Swords,931,68,Sansa VI,Sansa Stark,Lord,Lyonel,Corbray,,,,M,
"Watt, Of Long Lake",A Storm of Swords,947,69,Jon IX,Jon Snow,,Watt,,,Of Long Lake,,M,
Tumberjon,A Storm of Swords,947,69,Jon IX,Jon Snow,,Tumberjon,,,,,M,
"Tim, Tangletongue",A Storm of Swords,950,69,Jon IX,Jon Snow,,Tim,,,Tangletongue,,M,
Ser Glendon Hewett,A Storm of Swords,956,69,Jon IX,Jon Snow,Ser,Glendon,Hewett,,,,M,
"Baelor Hightower, Breakwind",A Storm of Swords,967,70,Tyrion X,Tyrion Lannister,,Baelor,Hightower,,Breakwind,,M,
Ghael,A Storm of Swords,982,71,Daenerys VI,Daenerys Targaryen,,Ghael,,,,,M,
"King Cleon, The Butcher King",A Storm of Swords,982,71,Daenerys VI,Daenerys Targaryen,King,Cleon,,,The Butcher King,,M,
Septa Donyse,A Storm of Swords,1006,72,Jaime IX,Jaime Lannister,Septa,Donyse,,,,,F,
"Torwynd, The Tame",A Storm of Swords,1016,73,Jon X,Jon Snow,,Torwynd,,,The Tame,,M,
Quenn,A Storm of Swords,1021,73,Jon X,Jon Snow,,Quenn,,,,,M,
Hop-Robin,A Storm of Swords,1048,75,Samwell IV,Samwell Tarly,,Hop-Robin,,,,,M,
Lum,A Storm of Swords,1070,77,Tyrion XI,Tyrion Lannister,,Lum,,,,,M,
"Lester, Red Lester",A Storm of Swords,1070,77,Tyrion XI,Tyrion Lannister,,Lester,,,Red Lester,,M,
Maester Harmune,A Storm of Swords,1084,78,Samwell V,Samwell Tarly,Maester,Harmune,,,,,M,
"Emmett, Iron Emmett",A Storm of Swords,1087,79,Jon XII,Jon Snow,,Emmett,,,Iron Emmett,,M,
Ser Garse Goodbrook,A Storm of Swords,1126,81,Epilogue,Merrett Frey,Ser,Garse,Goodbrook,,,,M,D
Jothos Slynt,A Storm of Swords,1133,82,Appendix,N/A,,Jothos,Slynt,,,,M,
Danos Slynt,A Storm of Swords,1133,82,Appendix,N/A,,Danos,Slynt,,,,M,
"Alesander Staedmon, Pennylover",A Storm of Swords,1133,82,Appendix,N/A,,Alesander,Staedmon,,Pennylover,,M,
Togg Joth,A Storm of Swords,1137,82,Appendix,N/A,,Togg,Joth,,,,M,
Pyg,A Storm of Swords,1137,82,Appendix,N/A,,Pyg,,,,,M,D
Three Toes,A Storm of Swords,1137,82,Appendix,N/A,,Three Toes,,,,,M,
Jonelle Cerwyn,A Storm of Swords,1137,82,Appendix,N/A,,Jonelle,Cerwyn,,,,F,
Lord Monterys Velaryon,A Storm of Swords,1140,82,Appendix,N/A,Lord,Monterys,Velaryon,,,,M,
Khal Jhaqo,A Storm of Swords,1142,82,Appendix,N/A,Khal,Jhaqo,,,,,M,
Maggo,A Storm of Swords,1142,82,Appendix,N/A,,Maggo,,,,,M,
Cadwyle,A Storm of Swords,1144,82,Appendix,N/A,,Cadwyle,,,,,M,
Lord Triston Farwynd,A Storm of Swords,1145,82,Appendix,N/A,Lord,Triston,Farwynd,,,,M,
Lord Maron Volmark,A Storm of Swords,1145,82,Appendix,N/A,Lord,Maron,Volmark,,,,M,
Lord Myre,A Storm of Swords,1145,82,Appendix,N/A,Lord,?,Myre,,,,M,
Lord Stonetree,A Storm of Swords,1145,82,Appendix,N/A,Lord,?,Stonetree,,,,M,
Lord Kenning,A Storm of Swords,1145,82,Appendix,N/A,Lord,?,Kenning,,,,M,
"Lord Alyn Orkwood, Orkwood of Orkmont",A Storm of Swords,1145,82,Appendix,N/A,Lord,Alyn,Orkwood,,Orkwood of Orkmont,,M,
Lord Balon Tawney,A Storm of Swords,1145,82,Appendix,N/A,Lord,Balon,Tawney,,,,M,
"Jeyne Frey, Wife of Ser Cleos",A Storm of Swords,1154,82,Appendix,N/A,,Jeyne,Frey,Darry,Wife of Ser Cleos,,F,
Ser Lyonel Frey,A Storm of Swords,1154,82,Appendix,N/A,Ser,Lyonel,Frey,,,,M,
Ser Damion Lannister,A Storm of Swords,1159,82,Appendix,N/A,Ser,Damion,Lannister,,,,M,
Lady Shiera Lannister,A Storm of Swords,1159,82,Appendix,N/A,Lady,Shiera,Lannister,Crakehall,,,F,
Ser Lucion Lannister,A Storm of Swords,1159,82,Appendix,N/A,Ser,Lucion,Lannister,,,,M,
Lanna Jast,A Storm of Swords,1159,82,Appendix,N/A,,Lanna,Jast,Lannister,,,F,
Margot Peake,A Storm of Swords,1159,82,Appendix,N/A,,Margot,Peake,Lannister,,,F,
Lord Titus Peake,A Storm of Swords,1159,82,Appendix,N/A,Lord,Titus,Peake,,,,M,
Ser Benedict Broom,A Storm of Swords,1159,82,Appendix,N/A,Ser,Benedict,Broom,,,,M,
Lord Damon Marbrand,A Storm of Swords,1159,82,Appendix,N/A,Lord,Damon,Marbrand,,,,M,
Ser Tybolt Crakehall,A Storm of Swords,1159,82,Appendix,N/A,Ser,Tybolt,Crakehall,,,,M,
"Ser Lyle Crakehall, Strongboar",A Storm of Swords,1159,82,Appendix,N/A,Ser,Lyle,Crakehall,,Strongboar,,M,
Lord Philip Plumm,A Storm of Swords,1160,82,Appendix,N/A,Lord,Philip,Plumm,,,,M,
Ser Steffon Swyft,A Storm of Swords,1160,82,Appendix,N/A,Ser,Steffon,Swyft,,,,M,
Joanna Swyft,A Storm of Swords,1160,82,Appendix,N/A,,Joanna,Swyft,,,,F,
Shierle Sarsfield,A Storm of Swords,1160,82,Appendix,N/A,,Shierle,Sarsfield,Swyft,,,F,
Lord Selmond Stackspear,A Storm of Swords,1160,82,Appendix,N/A,Lord,Selmond,Stackspear,,,,M,
Ser Steffon Stackspear,A Storm of Swords,1160,82,Appendix,N/A,Ser,Steffon,Stackspear,,,,M,
Lord Terrence Kenning,A Storm of Swords,1160,82,Appendix,N/A,Lord,Terrence,Kenning,,,,M,
Obara Sand,A Storm of Swords,1162,82,Appendix,N/A,,Obara,Sand,,,,F,
"Nymeria Sand, Nym",A Storm of Swords,1162,82,Appendix,N/A,,Nymeria,Sand,,Nym,,F,
Tyene Sand,A Storm of Swords,1162,82,Appendix,N/A,,Tyene,Sand,,,,F,
Sarella Sand,A Storm of Swords,1162,82,Appendix,N/A,,Sarella,Sand,,,,F,
Elia Sand,A Storm of Swords,1162,82,Appendix,N/A,,Elia,Sand,,,,F,
Obella Sand,A Storm of Swords,1162,82,Appendix,N/A,,Obella,Sand,,,,F,
Dorea Sand,A Storm of Swords,1162,82,Appendix,N/A,,Dorea,Sand,,,,F,
Loreza Sand,A Storm of Swords,1162,82,Appendix,N/A,,Loreza,Sand,,,,F,
Perros Blackmont,A Storm of Swords,1163,82,Appendix,N/A,,Perros,Blackmont,,,,M,
Lady Delonne Allyrion,A Storm of Swords,1163,82,Appendix,N/A,Lady,Delonne,Allyrion,,,,F,
Lady Nymella Toland,A Storm of Swords,1163,82,Appendix,N/A,Lady,Nymella,Toland,,,,F,
"Ser Ronald Vance, The Bad",A Storm of Swords,1164,82,Appendix,N/A,Ser,Ronald,Vance,,The Bad,,M,
Ser Hugo Vance,A Storm of Swords,1164,82,Appendix,N/A,Ser,Hugo,Vance,,,,M,
Ser Ellery Vance,A Storm of Swords,1164,82,Appendix,N/A,Ser,Ellery,Vance,,,,M,
Kirth Vance,A Storm of Swords,1164,82,Appendix,N/A,,Kirth,Vance,,,,M,
Ser Robert Paege,A Storm of Swords,1164,82,Appendix,N/A,Ser,Robert,Paege,,,,M,
Tristan Ryger,A Storm of Swords,1164,82,Appendix,N/A,,Tristan,Ryger,,,,M,
Lord Norbert Vance,A Storm of Swords,1164,82,Appendix,N/A,Lord,Norbert,Vance,,,,M,
Lord Theomar Smallwood,A Storm of Swords,1164,82,Appendix,N/A,Lord,Theomar,Smallwood,,,,M,
"Ser Luthor Tyrell, Son of Moryn",A Storm of Swords,1167,82,Appendix,N/A,Ser,Luthor,Tyrell,,Son of Moryn,,M,
Lady Elyn Tyrell,A Storm of Swords,1167,82,Appendix,N/A,Lady,Elyn,Tyrell,Norridge,,,F,
Ser Theodore Tyrell,A Storm of Swords,1167,82,Appendix,N/A,Ser,Theodore,Tyrell,,,,M,
Lady Lia Tyrell,A Storm of Swords,1167,82,Appendix,N/A,Lady,Lia,Tyrell,Serry,,,F,
"Luthor Tyrell, Son of Theodore",A Storm of Swords,1167,82,Appendix,N/A,,Luthor,Tyrell,,Son of Theodore,,M,
Maester Medwick,A Storm of Swords,1167,82,Appendix,N/A,Maester,Medwick,,Tyrell,,,M,
Olene Blackbar,A Storm of Swords,1167,82,Appendix,N/A,,Olene,Blackbar,Tyrell,,,F,
Ser Leo Blackbar,A Storm of Swords,1167,82,Appendix,N/A,Ser,Leo,Blackbar,,,,M,
"Leo Tyrell, Leo the Lazy, Son of Moryn",A Storm of Swords,1167,82,Appendix,N/A,,Leo,Tyrell,,"Leo the Lazy, Son of Moryn",,M,
Ser Quentin Tyrell,A Storm of Swords,1167,82,Appendix,N/A,Ser,Quentin,Tyrell,,,,M,
Ser Olymer Tyrell,A Storm of Swords,1167,82,Appendix,N/A,Ser,Olymer,Tyrell,,,,M,
Lady Lysa Tyrell,A Storm of Swords,1167,82,Appendix,N/A,Lady,Lysa,Tyrell,Meadows,,,F,
Raymund Tyrell,A Storm of Swords,1167,82,Appendix,N/A,,Raymund,Tyrell,,,,M,
Rickard Tyrell,A Storm of Swords,1167,82,Appendix,N/A,,Rickard,Tyrell,,,,M,
Maester Normund,A Storm of Swords,1167,82,Appendix,N/A,Maester,Normund,,Tyrell,,,M,
Ser Victor Tyrell,A Storm of Swords,1167,82,Appendix,N/A,Ser,Victor,Tyrell,,,,M,
Victaria Bulwer,A Storm of Swords,1167,82,Appendix,N/A,,Victaria,Bulwer,,,,F,
Lord Jon Bulwer,A Storm of Swords,1167,82,Appendix,N/A,Lord,Jon,Bulwer,,,,M,
"Ser Leo Tyrell, Son of Victor",A Storm of Swords,1167,82,Appendix,N/A,Ser,Leo,Tyrell,,Son of Victor,,M,
Lady Alys Beesbury,A Storm of Swords,1167,82,Appendix,N/A,Lady,Alys,Beesbury,,,,F,
Leona Tyrell,A Storm of Swords,1168,82,Appendix,N/A,,Leona,Tyrell,,,,F,
Lyonel Tyrell,A Storm of Swords,1168,82,Appendix,N/A,,Lyonel,Tyrell,,,,M,
Lucas Tyrell,A Storm of Swords,1168,82,Appendix,N/A,,Lucas,Tyrell,,,,M,
Lorent Tyrell,A Storm of Swords,1168,82,Appendix,N/A,,Lorent,Tyrell,,,,M,
Orton Merryweather,A Storm of Swords,1168,82,Appendix,N/A,,Orton,Merryweather,,,,M,
Eggen,A Storm of Swords,1171,82,Appendix,N/A,,Eggen,,,,,M,
"Hal, Hairy Hal",A Storm of Swords,1172,82,Appendix,N/A,,Hal,,,Hairy Hal,,M,D
"Jack Bulwer, Black Jack Bulwer",A Storm of Swords,1172,82,Appendix,N/A,,Jack,Bulwer,,Black Jack Bulwer,,M,D
Wallace Massey,A Storm of Swords,1172,82,Appendix,N/A,,Wallace,Massey,,,,M,
Dennett,A Storm of Swords,1174,82,Appendix,N/A,,Dennett,,,,,M,
Maester Roone,A Storm of Swords,1174,82,Appendix,N/A,Maester,Roone,,,,,M,
"Dryn, Son of Tormund",A Storm of Swords,1174,82,Appendix,N/A,,Dryn,,,Son of Tormund,,M,
Mollander,A Feast for Crows,1,0,Prologue,Pate,,Mollander,,,,,M,
"Alleras, The Sphinx",A Feast for Crows,1,0,Prologue,Pate,,Alleras,,,The Sphinx,,M,
Roone,A Feast for Crows,1,0,Prologue,Pate,,Roone,,,,,M,
Rosey,A Feast for Crows,1,0,Prologue,Pate,,Rosey,,,,,F,
"Pate, Novice of Oldtown",A Feast for Crows,1,0,Prologue,Pate,,Pate,,,Novice of Oldtown,,M,
Emma,A Feast for Crows,1,0,Prologue,Pate,,Emma,,,,,F,
"Armen, The Acolyte",A Feast for Crows,1,0,Prologue,Pate,,Armen,,,The Acolyte,,M,
Archmaester Ebrose,A Feast for Crows,2,0,Prologue,Pate,Archmaester,Ebrose,,,,,M,
Archmaester Walgrave,A Feast for Crows,3,0,Prologue,Pate,Archmaester,Walgrave,,,,,M,
Archmaester Benedict,A Feast for Crows,4,0,Prologue,Pate,Archmaester,Benedict,,,,,M,
Archmaester Vaellyn,A Feast for Crows,6,0,Prologue,Pate,Archmaester,Vaellyn,,,,,M,
Archmaester Perestan,A Feast for Crows,7,0,Prologue,Pate,Archmaester,Perestan,,,,,M,
Mollos,A Feast for Crows,8,0,Prologue,Pate,,Mollos,,,,,M,
Archmaester Ryam,A Feast for Crows,9,0,Prologue,Pate,Archmaester,Ryam,,,,,M,
Emmond,A Feast for Crows,18,1,The Prophet,Aeron Greyjoy,,Emmond,,,,,M,
Steffarion Sparr,A Feast for Crows,18,1,The Prophet,Aeron Greyjoy,,Steffarion,Sparr,,,,M,
Greydon Goodbrother,A Feast for Crows,19,1,The Prophet,Aeron Greyjoy,,Greydon,Goodbrother,,,,M,
